"id","name","abbreviation","if","if5","sci","casup","casbase","publisher","issn","eissn","official_url","rss_url"
"1","Ca-A Cancer Journal for Clinicians","Ca-Cancer J. Clin.","232.4","353","1","医学1区","医学1区","Wiley","1542-4863","1542-4863",,"https://onlinelibrary.wiley.com/feed/15424863/most-recent"
"2","MMWR Recommendations and Reports","MMWR Recomm. Rep.","60.1","50","1","医学1区","医学1区",,"1057-5987","1545-8601",,
"3","Nature Reviews Molecular Cell Biology","Nat. Rev. Mol. Cell Biol.","90.2","128.7","1","生物学1区","生物1区","Springer Nature","1471-0072","1471-0080","https://www.nature.com/nrm/research-articles","https://www.nature.com/nrm.rss"
"4","Quarterly Journal of Economics","Q. J. Econ.","12.7","20.9","0","经济学1区",,"Oxford","0033-5533","1531-4650",,
"5","Nature Reviews Drug Discovery","Nat. Rev. Drug Discov.","101.8","129.8","1","医学1区","医学1区","Springer Nature","1474-1784","1474-1776","https://www.nature.com/nrd/research-articles","https://www.nature.com/nrd.rss"
"6","Nature Reviews Clinical Oncology","Nat. Rev. Clin. Oncol.","83.2","90.3","1","医学1区","医学1区","Springer Nature","1759-4782","1759-4774","https://www.nature.com/nrclinonc/research-articles","https://www.nature.com/nrclinonc.rss"
"7","American Economic Review","Am. Econ. Rev.","11.6","16.6","0","经济学1区",,,"1944-7981","0002-8282",,
"8","Nature Reviews Cancer","Nat. Rev. Cancer","66.8","81","1","医学1区","医学1区","Springer Nature","1474-175X","1474-1768","https://www.nature.com/nrc/research-articles","https://www.nature.com/nrc.rss"
"9","Journal of Finance","J. Finance","9.5","10.3","0","经济学1区",,"Wiley","0022-1082","1540-6261",,"https://onlinelibrary.wiley.com/feed/15406261/most-recent"
"10","Foundations and Trends in Machine Learning","Found. Trends Mach. Learn.","25.4","89","0","计算机科学1区",,,"1935-8245","1935-8237",,
"11","Cell","Cell","42.5","48.8","1","生物学1区","生物1区","Elsevier","0092-8674","1097-4172",,"https://rss.sciencedirect.com/publication/science/00928674"
"12","Econometrica","Econometrica","7.1","8.3","1","经济学1区","管理科学2区","Wiley","0012-9682","1468-0262",,"https://onlinelibrary.wiley.com/feed/14680262/most-recent"
"13","Nature Reviews Materials","Nat. Rev. Mater.","87.2","100.2","1","材料科学1区","工程技术1区","Springer Nature","2058-8437",,"https://www.nature.com/natrevmats/research-articles","https://www.nature.com/natrevmats.rss"
"14","Review of Economic Studies","Rev. Econ. Stud.","6.4","8.2","0","经济学1区",,"Oxford","0034-6527","1467-937X",,
"15","New England Journal of Medicine","N. Engl. J. Med.","78.5","84.9","1","医学1区","医学1区",,"0028-4793","1533-4406",,
"16","Annals of Oncology","Ann. Oncol.","65.4","46.8","1","医学1区","医学1区","Elsevier","1569-8041","0923-7534",,"https://rss.sciencedirect.com/publication/science/09237534"
"17","Cancer Cell","Cancer Cell","44.5","47.2","1","医学1区","医学1区","Elsevier","1535-6108","1878-3686",,"https://rss.sciencedirect.com/publication/science/15356108"
"18","Nature Biotechnology","Nat. Biotechnol.","41.7","59.5","1","生物学1区","生物1区","Springer Nature","1546-1696","1087-0156","https://www.nature.com/nbt/research-articles","https://www.nature.com/nbt.rss"
"19","World Psychiatry","World Psychiatry","65.8","60","1","医学1区","医学1区","Wiley","1723-8617","2051-5545",,"https://onlinelibrary.wiley.com/feed/20515545/most-recent"
"20","Nature Medicine","Nat. Med.","50","52.4","1","医学1区","医学1区","Springer Nature","1546-170X","1078-8956","https://www.nature.com/nm/research-articles","https://www.nature.com/nm.rss"
